,id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
476,80236,80236,382,3511,The Secrets of Sir Richard Kenworthy,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,01 Feb 2015,378,HarperCollins Publishers Inc,English,The Secrets of Sir Richard Kenworthy,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance,January 27th 2015,378,Avon,,1
162,20986,20986,2673,618,Hidden Star,Nora Roberts,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Dec 2016,320,HarperCollins Publishers,English,Hidden Riches,Nora Roberts,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Fiction;Mystery,July 6th 2004,392,Berkley,English,0
34,3770,3770,366,111,Paradise,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Oct 2006,709,Simon & Schuster Ltd,English,Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English,1
44,5133,5133,2640,150,Big Sky Mountain,Linda Lael Miller,Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jul 2012,378,HarperCollins Publishers,English,Mackenzie's Mountain,Linda Howard,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Westerns;Suspense,March 1st 2000,256,Mira Books,English,0
97,12658,12658,1587,328,The Ideal Bride,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,29 Aug 2011,431,HarperCollins Publishers Inc,English,Devil's Bride,Stephanie Laurens,Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,March 1st 1998,388,Avon,English,0
85,10876,10876,179,296,The Darkest Surrender,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Sep 2011,432,HarperCollins Publishers,English,The Darkest Surrender,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,September 27th 2011,426,HQN Books,English,1
61,7347,7347,3069,210,Hearts in Darkness,Laura Kaye,Adult & Contemporary Romance:Adult & Contemporary Romance,31 May 2014,103,Laura Kaye,English,Hearts in Darkness,Laura Kaye;Güneş Demirel,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;Novella,April 21st 2011,112,The Wild Rose Press,,1
199,26212,26212,871,817,Sweet Surrender,Maya Banks,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Feb 2013,314,Penguin Putnam Inc,English,Sweet Surrender,Maya Banks,Adult Fiction;Erotica;Romance;Erotica;Bdsm;Romance;Erotic Romance;Romance;Contemporary Romance,March 4th 2008,344,Berkley Heat,English,1
268,35252,35252,1515,1161,Voyager,Diana Gabaldon,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,07 Aug 2001,912,Bantam Doubleday Dell Publishing Group Inc,English,Voyager,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance;Adult;Cultural;Scotland;Adventure,August 7th 2001,870,Delta,English,1
218,30551,30551,1119,977,Blaze of Memory : Book 7,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,12 May 2011,400,Orion Publishing Co,English,Blaze of Memory,Nalini Singh;Angela Dawe,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Shapeshifters;Fantasy;Urban Fantasy,November 3rd 2009,373,Berkley,,1
73,8962,8962,613,250,Kiss of Snow,Nalini Singh,Contemporary Fiction:Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Nov 2011,448,Penguin Putnam Inc,English,Kiss of Snow,Nalini Singh,Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters;Science Fiction,May 31st 2011,432,Gollancz,English,1
35,3943,3943,3628,116,Threesomes : When One Lover is Not Enough,Miranda Forbes:Sommer Marsden:Thomas S. Roche:Lana Fox:Malin James:Josephine Myles:Emma Richardson:Darla White:Elizabeth Coldwell:Kay Jaybee,Erotic Fiction,06 Jun 2011,208,Accent Press Ltd,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,,0
303,41192,41192,2404,1447,Something About Emmaline,Elizabeth Boyle,Historical Romance:Historical Romance,29 Aug 2011,384,HarperCollins Publishers Inc,English,Something; Maybe,Elizabeth Scott,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,March 24th 2009,217,Simon Pulse,English,0
29,2914,2914,164,91,The Darkest Seduction,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books,21 Feb 2012,384,Harlequin (UK),English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English,0
361,55646,55646,1833,2263,The Taming of Ryder Cavanaugh : Number 5 in series,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,25 Jun 2013,448,Little Brown Book Group,English,A Tale of Struggle; Success; and Love (Erotic Spanking stories #1),Stephanie Rose,,March 4th 2015,None,Darkness series,None,0
392,66380,66380,1577,2863,Duchess in Love,Eloisa James,Historical Romance:Historical Romance,08 Jul 2011,400,HarperCollins Publishers Inc,English,My American Duchess,Eloisa James;Kate Reading,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency;Fiction,January 26th 2016,12,HarperAudio,English,0
443,73096,73096,1636,3187,Taming of the Duke,Eloise James,Historical Romance:Historical Romance,11 Jul 2011,394,HarperCollins Publishers Inc,English,The Taming of the Duke,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,March 28th 2006,392,Avon,English,1
217,30488,30488,1607,975,To Sir Phillip With Love : Number 5 in series,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,01 Nov 2006,384,Little Brown Book Group,English,To Sir Phillip; With Love,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,August 25th 2009,372,Avon,English,1
27,2909,2909,3051,90,Bridget Jones's Baby : The Diaries,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,01 Jun 2017,240,Vintage Publishing,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English,0
399,66639,66639,3550,2869,Beautiful player : Un Seductor Irresistible / an Irresistible Seducer,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,400,DEBOLSILLO,Spanish,Beautiful Torment,Paige Laurens,Romance;New Adult,February 23rd 2015,216,,,0
380,63037,63037,1073,2680,Taken by Midnight : A Midnight Breed Novel,Lara Adrian,Horror:Horror:Romance:Romance Books,28 Sep 2010,400,Random House USA Inc,English,Once Upon a Midnight,Nora Roberts;Jill Gregory;Ruth Ryan Langan;Marianne Willman,Romance;Anthologies;Romance;Paranormal Romance;Fiction,September 30th 2003,407,Jove Books,English,0
156,20590,20590,1350,598,Archangel's Enigma : Book 8,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,05 Nov 2015,384,Orion Publishing Co,English,Archangel's Kiss,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Paranormal;Angels;Romance;Fantasy;Paranormal;Vampires,February 2nd 2010,323,Berkley Sensation,,0
429,70452,70452,1808,3063,The Secret Mistress : Mistress Couplet: Prequel,Mary Balogh,Historical Romance:Historical Romance:Historical Fiction,04 Aug 2011,368,Little Brown Book Group,English,More Than a Mistress,Mary Balogh,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,February 28th 2006,384,Dell,English,0
345,47858,47858,3535,1750,Razer's Ride,Jamie Begley,Erotic Fiction,10 Jun 2013,228,Young Ink Press LLC,English,Razer's Ride,Jamie Begley,Romance;Adult Fiction;Erotica,June 8th 2013,229,Young Ink Press; LLC,,1
138,17714,17714,3357,500,Beautiful Bastard. Un tipo odioso: Serie Beautiful Bastard 1,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,272,DEBOLSILLO,Spanish,Beautiful Stranger,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;New Adult,April 16th 2013,345,Gallery Books,English,0
212,29427,29427,1684,927,A Night to Surrender,Tessa Dare,Contemporary Fiction:Historical Romance:Historical Romance,30 Aug 2011,400,HarperCollins Publishers Inc,English,A Night to Surrender,Tessa Dare,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,August 30th 2011,372,Avon,English,1
104,13794,13794,620,365,Losing Hope,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Oct 2013,321,SIMON & SCHUSTER,English,Losing Hope,Colleen Hoover,Romance;New Adult;Young Adult;Contemporary,July 8th 2013,321,Atria Books,,1
350,49926,49926,680,1880,Lost For Words : If you loved THE KEEPER OF LOST THINGS you'll love this,Stephanie Butland,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Apr 2017,368,Zaffre Publishing,English,Tempting Love: Haley & Eddie,Melanie Shawn,Romance;Romance;Contemporary Romance;Contemporary,April 2nd 2014,250,Red Hot Reads Publishing,,0
346,47896,47896,3201,1752,Nauti Boy,Lora Leigh,Erotic Fiction:Romance:Romance Books,24 Apr 2008,294,Penguin Putnam Inc,English,Nauti Nights,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense,November 1st 2007,344,Berkley HEAT,English,0
351,51176,51176,3621,1958,A Darker Place : A Novel,Laurie R. King,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books,01 Jan 2000,477,Bantam Doubleday Dell Publishing Group Inc,English,Darker Shades of Obsession,J.R.  King,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Erotic Romance,December 31st 2014,674,Amazon Digital Services,,0
215,29736,29736,1446,937,The Key Trilogy : Key of Light/Key of Knowledge/Key of Valor,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Oct 2013,None,Penguin Putnam Inc,English,Irish trilogy collection,Nora Roberts;Patricia Daniels,Romance;Romance;Contemporary Romance;Fiction,June 10th 2003,None,Brilliance Audio,English,0
385,64237,64237,3529,2734,Knight and Play,Kitty French,Erotic Fiction,26 Sep 2013,224,Createspace,English,Knight & Stay,Kitty French,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,May 4th 2013,220,,,0
189,24077,24077,1042,735,Heart of the Sea,Nora Roberts,Contemporary Fiction:Horror:Horror:Romance:Romance Books,05 Dec 2000,384,Penguin Putnam Inc,English,The Heart of Devin MacKade,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Fiction,June 20th 2011,158,Silhouette Desire,English,0
214,29694,29694,2994,937,Key of Light : Key Trilogy,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Nov 2003,352,Berkley Books,English,Irish trilogy collection,Nora Roberts;Patricia Daniels,Romance;Romance;Contemporary Romance;Fiction,June 10th 2003,None,Brilliance Audio,English,0
204,27304,27304,2817,860,Shopaholic Ties The Knot : (Shopaholic Book 3),Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2006,400,Transworld Publishers Ltd,English,Confessions of a Shopaholic,Sophie Kinsella,Womens Fiction;Chick Lit;Humor;Funny;Adult Fiction;Romance;Contemporary Romance;Humor;Comedy;Humor;Romance;Young Adult;European Literature;British Literature;Novels,November 4th 2003,368,Dell Publishing Company,English,0
234,32319,32319,1847,1048,Because of Miss Bridgerton,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,01 Apr 2016,384,Little Brown Book Group,English,The Bridgertons: Happily Ever After,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,April 2nd 2013,374,HarperCollins,English,0
259,34328,34328,1718,1130,Desperate Duchesses,Eloisa James,Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,This Duchess of Mine,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,May 26th 2009,370,Avon,English,0
67,7919,7919,1338,223,Dark Predator,Christine Feehan,Fantasy:Fantasy Books:Romance:Romance Books,25 Sep 2012,442,Penguin Putnam Inc,English,Dark Prince,Christine Feehan,Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Paranormal;Vampires;Fantasy,April 5th 2005,447,Leisure Books,English,0
24,2548,2548,1373,79,Practice Makes Perfect,Julie James,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Jul 2011,291,Penguin Putnam Inc,English,Practice Makes Perfect,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,March 3rd 2009,291,Berkley Sensation,English,1
216,29908,29908,190,947,Once Burned : A Night Prince Novel,Jeaniene Frost,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,05 Jul 2012,384,HarperCollins Publishers Inc,English,Once Burned,Jeaniene Frost,Fantasy;Paranormal;Paranormal;Vampires;Romance;Paranormal Romance;Romance;Fantasy;Urban Fantasy;Fantasy,June 26th 2012,346,Avon,English,1
223,31847,31847,3067,1029,The Redhead Revealed,Alice Clayton,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Nov 2013,320,SIMON & SCHUSTER,English,The Redhead Revealed,Alice Clayton,Romance;Romance;Contemporary Romance;Humor;Funny;Womens Fiction;Chick Lit;Contemporary;Adult,September 28th 2010,228,,English,1
129,16141,16141,204,442,Maybe Someday,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Mar 2014,384,Simon & Schuster Ltd,English,Maybe Someday,Colleen Hoover,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance,March 18th 2014,385,Atria Books,,1
111,15553,15553,3253,424,Poughkeepsie,Debra Anastasia,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Mar 2014,372,Omnific Publishing,English,Poughkeepsie,Debra Anastasia,Romance;Romance;Contemporary Romance;Contemporary;Did Not Finish;New Adult,November 22nd 2011,372,Omnific Publishing,,1
166,21679,21679,3476,636,Fueled,K. Bromberg,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Sep 2016,352,Diversion Books,English,Fueled,K. Bromberg,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Sports and Games;Sports,August 27th 2013,356,JKB Publishing,,1
417,68696,68696,2423,2974,Beautiful Boss,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Mar 2016,144,SIMON & SCHUSTER,English,Beautiful Beginning,Christina Lauren,New Adult;Humor;Funny;Romance;Erotic Romance;Adult Fiction;Erotica;Humor,November 19th 2013,208,Pocket Star,,0
394,66567,66567,189,2869,Beautiful Stranger,Christina Lauren,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Jun 2013,352,SIMON & SCHUSTER,English,Beautiful Torment,Paige Laurens,Romance;New Adult,February 23rd 2015,216,,,0
40,4865,4865,1443,139,Perfect,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jun 2017,677,Simon & Schuster Ltd,English,Perfect,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,December 1st 2002,704,Pocket Books,English,1
274,35872,35872,1105,1177,Dark Side of the Moon,Sherrilyn Kenyon,Contemporary Fiction:Romance:Romance Books,07 Aug 2009,384,St Martin's Press,English,Dark Side of the Moon,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Paranormal;Vampires;Romance;Fantasy;Urban Fantasy,November 28th 2006,353,St. Martin's Press,English,1
357,54491,54491,3638,2191,Letters to Penthouse: Letters To Penthouse Xxxv Naughty Pleasure Parties Exposed XXXV,Editors of Penthouse,Erotic Fiction,01 Sep 2009,304,Little Brown & Company,English,Stately Pleasures,Lucy Felthouse,Adult Fiction;Erotica;Erotica;Menage;Erotica;Bdsm;Romance;Romance;Erotic Romance,January 16th 2014,200,Xcite Books,None,0
79,10388,10388,1127,284,Safe Haven,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,26 Jun 2012,405,Time Warner Trade Publishing,English,Safe Haven,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary,September 14th 2010,340,Grand Central Publishing,English,1
313,42971,42971,922,1530,Since I Saw You (Because You Are Mine Series #4),Beth Kery,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Jun 2014,352,Headline Publishing Group,English,Because You Are Mine: The Complete Novel,Beth Kery,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Romance;Erotic Romance;Contemporary,March 5th 2013,368,Berkley,,0
315,43283,43283,2033,1561,Angel Creek,Linda Howard,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,01 Jan 1998,352,SIMON & SCHUSTER,English,The Man from Stone Creek,Linda Lael Miller,Westerns;Romance;Historical Romance;Historical;Romance;Western Romance;Romance;Fiction,June 1st 2006,331,Harlequin Books,,0
13,1340,1340,2428,41,Kiss an Angel,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jul 2011,373,HarperCollins Publishers Inc,English,Kiss an Angel,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Humor;Funny;Adult,February 1st 1996,384,Avon,English,1
287,38447,38447,915,1332,Knight Takes Queen,C. C. Gibbs,Erotic Fiction,04 Dec 2013,432,Quercus Publishing,English,Knight's Game,C.C. Gibbs,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Contemporary;Romance;Contemporary Romance,June 20th 2013,364,Quercus,,0
409,68215,68215,3480,2944,Beautiful Stranger. Un desconocido encantador,Christina Lauren:Concepción Rodríguez González,Erotic Fiction:Romance:Romance Books,03 Jun 2014,304,DEBOLSILLO,Spanish,Beautiful Dream,Paige Laurens,New Adult;Romance,November 27th 2015,None,,None,0
494,84104,84104,1163,3728,Under a Vampire Moon,Lynsay Sands,Fantasy:Fantasy Books:Romance:Romance Books,18 May 2012,351,HarperCollins Publishers Inc,English,The Accidental Vampire,Lynsay Sands,Paranormal;Vampires;Fantasy;Paranormal;Romance;Romance;Paranormal Romance,December 26th 2008,372,Avon,English,0
228,32090,32090,1017,1041,Purity in Death,J. D. Robb,Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books:Romance:Romance Books,01 Dec 2002,355,Penguin Putnam Inc,English,Innocent in Death,J.D. Robb,Mystery;Mystery;Crime;Romance;Fiction,February 20th 2007,385,G.P. Putnam's Sons,English,0
161,20946,20946,1239,617,Gabriel's Rapture,Sylvain Reynard,Adult & Contemporary Romance:Adult & Contemporary Romance,23 Nov 2012,432,Penguin Books Ltd,English,Gabriel's Redemption,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult;New Adult,December 3rd 2013,477,Berkley Trade,English,0
83,10631,10631,2618,292,First Star I See Tonight,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Sep 2016,384,HarperCollins Publishers Inc,English,First Lady,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,February 8th 2000,384,Avon,English,0
497,84201,84201,2995,3731,The Promise,Danielle Steel,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Sagas,01 Jul 1990,288,Bantam Doubleday Dell Publishing Group Inc,English,The Promise,Danielle Steel,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Novels;Romance;Contemporary Romance;Adult;Drama;Love;Romance;Love Story,,224,Warner Books,English,1
473,79251,79251,1964,3459,It Happened One Night,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,370,HarperCollins Publishers Inc,English,One Night with a Hero,Laura Kaye,Romance;Romance;Contemporary Romance;Contemporary;War;Military;Adult,October 20th 2012,173,Entangled Publishing; LLC (Brazen),,0
110,15423,15423,590,422,The Darkest Touch : A Spellbinding Paranormal Romance Novel,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Mar 2015,496,Harlequin Books,English,The Darkest Seduction,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,February 28th 2012,504,HQN Books,English,0
