,id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
149,19600,19600,461,560,To Tame A Highland Warrior,Karen Marie Moning,Historical Romance:Historical Romance,01 Mar 2000,366,Bantam Doubleday Dell Publishing Group Inc,English,The Immortal Highlander,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Science Fiction;Time Travel;Romance;Historical Romance,July 26th 2005,348,Dell,English,0
152,20045,20045,2677,577,Somebody to Love,Kristan Higgins,Adult & Contemporary Romance:Adult & Contemporary Romance,24 Apr 2012,425,HarperCollins Publishers,English,Somebody to Love,Kristan Higgins,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 24th 2012,425,HQN Books,English,1
16,1921,1921,432,60,The Bride,Julie Garwood,Historical Romance:Historical Romance,04 Aug 1993,358,SIMON & SCHUSTER,English,The Bride,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval,May 21st 2002,352,Atria Books,English,1
339,46265,46265,3423,1687,Lady Chatterley's Lover,D H Lawrence,Classic Books & Novels:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Sep 2013,297,Advantage Publishers Group,English,Lady Chatterley's Lover,D.H. Lawrence;Doris Lessing;Chester Brown,Classics;Fiction;Romance;Literature,October 31st 2006,364,Penguin Classics,English,1
109,15421,15421,212,422,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Seduction,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,February 28th 2012,504,HQN Books,English,0
352,51704,51704,2587,2001,Jemima J.,Jane Green,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Aug 1998,464,Penguin Books Ltd,English,Jemima J,Jane Green,Womens Fiction;Chick Lit;Romance;Fiction;Adult,June 5th 2001,373,Broadway Books,English,1
139,17718,17718,3550,500,Beautiful player : Un Seductor Irresistible / an Irresistible Seducer,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,400,DEBOLSILLO,Spanish,Beautiful Stranger,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;New Adult,April 16th 2013,345,Gallery Books,English,0
237,32712,32712,2821,1065,Nauti Temptress,Lora Leigh,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2012,324,Penguin Putnam Inc,English,Nauti Intentions,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance;Romance;Romantic Suspense;Contemporary,April 7th 2009,339,Berkley Sensation,English,0
260,34445,34445,2764,1138,Born of Legend,Sherrilyn Kenyon,Adult & Contemporary Romance:Adult & Contemporary Romance,06 Apr 2017,736,Little Brown Book Group,English,Born of Silence,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Science Fiction;Fantasy,May 1st 2012,614,Grand Central Publishing,,0
419,68716,68716,3550,2974,Beautiful player : Un Seductor Irresistible / an Irresistible Seducer,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,400,DEBOLSILLO,Spanish,Beautiful Beginning,Christina Lauren,New Adult;Humor;Funny;Romance;Erotic Romance;Adult Fiction;Erotica;Humor,November 19th 2013,208,Pocket Star,,0
317,43890,43890,420,1586,Mastered by Love,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,544,HarperCollins Publishers (Australia) Pty Ltd,English,Mastered By Love,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical Romance;Regency Romance,July 28th 2009,434,Avon,English,1
495,84106,84106,1217,3728,The Reluctant Vampire,Lynsay Sands,Romance:Romance Books,01 Aug 2011,384,HarperCollins Publishers Inc,English,The Accidental Vampire,Lynsay Sands,Paranormal;Vampires;Fantasy;Paranormal;Romance;Romance;Paranormal Romance,December 26th 2008,372,Avon,English,0
400,66877,66877,1354,2878,Vampire Mine,Kerrelyn Sparks,Romance:Romance Books,11 Jul 2011,384,HarperCollins Publishers Inc,English,Vampire Mine,Kerrelyn Sparks,Romance;Paranormal Romance;Paranormal;Vampires;Fantasy;Paranormal;Romance;Paranormal;Angels,March 29th 2011,369,Avon,English,1
248,33644,33644,423,1099,The Designs of Lord Randolph Cavanaugh,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,24 Apr 2018,384,Mira Books,English,The Edge of Desire,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,August 26th 2008,433,Avon,English,0
386,64507,64507,2173,2749,A Dark Champion,Kinley MacGregor,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,29 Aug 2011,384,HarperCollins Publishers Inc,English,A Dark Champion,Kinley MacGregor,Romance;Historical Romance;Romance;Historical;Historical;Medieval,April 27th 2004,373,Avon,English,1
19,2077,2077,1065,66,Divided In Death,J. D. Robb,Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books:Romance:Romance Books,25 Jul 2011,371,Penguin Putnam Inc,English,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English,0
328,45449,45449,1557,1649,Slightly Wicked,Mary Balogh,Historical Romance:Historical Romance,29 Apr 2003,342,Bantam Doubleday Dell Publishing Group Inc,English,Slightly Scandalous,Mary Balogh,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction,October 2011,374,Dell Random House,English,0
296,39152,39152,2780,1375,River Road,Jayne Ann Krentz,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Jun 2015,432,Berkley Books,English,The River Knows,Amanda Quick;Jayne Ann Krentz,Romance;Romance;Historical Romance;Historical;Mystery;Historical;Historical Fiction,April 24th 2007,368,Putnam Adult,English,0
269,35258,35258,1877,1161,Voyager,Diana Gabaldon,Science Fiction:Science Fiction:Romance:Romance Books:Historical Romance:Historical Romance,01 Oct 1994,1059,Turtleback Books,English,Voyager,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance;Adult;Cultural;Scotland;Adventure,August 7th 2001,870,Delta,English,1
226,32080,32080,1918,1039,Defiant,Pamela Clare,Historical Romance:Historical Romance:Historical Fiction,03 Jul 2012,367,Penguin Putnam Inc,English,Defiant,Pamela Clare,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction,July 3rd 2012,364,Berkley Sensation,English,1
414,68632,68632,189,2974,Beautiful Stranger,Christina Lauren,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Jun 2013,352,SIMON & SCHUSTER,English,Beautiful Beginning,Christina Lauren,New Adult;Humor;Funny;Romance;Erotic Romance;Adult Fiction;Erotica;Humor,November 19th 2013,208,Pocket Star,,0
3,225,225,3617,3,Pride and Prejudice: The Wild and Wanton Edition : The Wild and Wanton Edition,Michelle M. Pillow:Jane Austen,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Jan 2011,480,Adams Media Corporation,English,Pride and Prejudice,Jane Austen;Anna Quindlen;Margaret Oliphant;George Saintsbury;Mark Twain;A.C. Bradley;Walter A. Raleigh;Virginia Woolf,Fiction;Classics;Historical;Historical Fiction;Historical;Novels;Romance;Historical Romance;Classics;Classic Literature;Adult;Literature;19th Century;European Literature;British Literature,October 10th 2000,279,Modern Library,English,0
378,61662,61662,1021,2599,You Had Me At Hello,Mhairi McFarlane,Contemporary Fiction:Romance:Romance Books,18 Aug 2015,464,HarperCollins Publishers,English,You Had Me At Hello,Mhairi McFarlane,Womens Fiction;Chick Lit;Romance;Contemporary;Fiction;Adult,December 6th 2012,436,Avon,English,1
125,16072,16072,1091,440,Midnight Awakening,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,369,Random House USA Inc,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,1
280,37340,37340,293,1277,The Girl With the Make-Believe Husband : A Bridgertons Prequel,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,14 Jun 2017,374,HarperCollins Publishers Inc,English,Because of Miss Bridgerton,Julia Quinn,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Adult,March 29th 2016,375,Avon,English,0
286,38156,38156,1534,1313,No Good Duke Goes Unpunished : The Third Rule of Scoundrels,Sarah MacLean,Contemporary Fiction:Historical Romance:Historical Romance,06 Mar 2014,384,AVON BOOKS,English,No Good Duke Goes Unpunished,Sarah MacLean,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,November 26th 2013,384,Avon,English,1
77,9776,9776,2748,275,Angels Fall,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Jun 2007,464,Berkley Books,English,Angels Fall,Nora Roberts,Romance;Romance;Romantic Suspense;Mystery;Fiction;Romance;Contemporary Romance;Suspense;Contemporary,July 11th 2006,391,Putnam,English,1
184,23639,23639,1169,720,Archangel's Kiss : A Guild Hunter Novel,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,26 Aug 2010,338,Penguin Putnam Inc,English,Archangel's Consort,Nalini Singh,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,February 10th 2011,324,Gollancz,,0
424,69986,69986,3357,3036,Beautiful Bastard. Un tipo odioso: Serie Beautiful Bastard 1,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,272,DEBOLSILLO,Spanish,Cold-Blooded Beautiful,Christine Zolendz,Dark;Romance;Sociology;Abuse;Romance;Contemporary Romance;New Adult,February 5th 2014,282,,None,0
477,80286,80286,2034,3511,The Secrets of Sir Richard Kenworthy : Number 4 in series,Julia Quinn,Historical Romance:Historical Romance:Historical Fiction,27 Jan 2015,384,Little Brown Book Group,English,The Secrets of Sir Richard Kenworthy,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance,January 27th 2015,378,Avon,,1
275,36000,36000,2373,1182,The Warrior: A Rouge Historical Romance,Nicole Jordan,Historical Romance:Historical Romance,16 Feb 2012,512,Ebury Publishing,English,The History of Love,Nicole Krauss,Fiction;Historical;Historical Fiction;Romance;Novels,May 17th 2006,255,Norton,English,0
294,38666,38666,682,1345,It Ends with Us,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Aug 2016,376,Atria Books,English,It Ends with Us,Colleen Hoover,Romance;New Adult;Contemporary;Fiction;Romance;Contemporary Romance,August 2nd 2016,367,Atria Books,,1
436,71295,71295,3874,3094,Letters to Penthouse: Letters To Penthouse XXXXII Hot and Horny in Class XXXXII,Editors of Penthouse,Erotic Fiction,10 Jan 2012,304,Little Brown & Company,English,Letters to a War Zone,Lucy Felthouse,Romance;M M Romance;Adult Fiction;Erotica;Romance;Contemporary,March 28th 2014,28,Totally Bound,,0
182,23608,23608,167,720,Archangel's Consort,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,02 Feb 2011,337,Penguin Putnam Inc,English,Archangel's Consort,Nalini Singh,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,February 10th 2011,324,Gollancz,,1
447,73984,73984,1117,3228,One Silent Night : A Dark-Hunter Novel,Sherrilyn Kenyon,Romance:Romance Books,06 Aug 2009,310,St Martin's Press,English,Night Play,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,August 2004,362,St. Martin's Press,English,0
80,10398,10398,2503,285,Reason to Breathe (The Breathing Series #1),Rebecca Donovan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2013,544,Penguin Books Ltd,English,Barely Breathing,Rebecca Donovan,Romance;Young Adult;New Adult;Sociology;Abuse;Contemporary,May 8th 2012,385,Smashwords,English,0
307,42072,42072,2660,1488,If You Were Mine,Bella Andre,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Oct 2013,344,Mira Books,English,If You Were Mine,Bella Andre,Romance;Romance;Contemporary Romance;Contemporary,May 24th 2012,194,Oak Press LLC,English,1
258,34299,34299,369,1130,This Duchess of Mine,Eloisa James,Historical Romance:Historical Romance,08 Jul 2011,372,HarperCollins Publishers Inc,English,This Duchess of Mine,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,May 26th 2009,370,Avon,English,1
11,820,820,108,21,Wuthering Heights,Emily Bronte,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,06 Dec 2012,384,Penguin Books Ltd,English,Wuthering Heights,Emily Brontë;Richard J. Dunn,Classics;Fiction;Romance;Literature;Gothic;Historical;Historical Fiction;Literature;19th Century;Classics;Classic Literature;Novels;Historical,,464,Norton,English,1
371,59148,59148,2557,2434,After We Fell,Anna Todd,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Mar 2015,848,SIMON & SCHUSTER,English,After We Fell,Anna Todd,Romance;New Adult;Contemporary,December 30th 2014,848,Gallery Books,English,1
86,11010,11010,2364,298,Surrender,Pamela Clare,Romance:Romance Books:Historical Romance:Historical Romance,06 Dec 2011,354,Penguin Putnam Inc,English,Surrender,Pamela Clare,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,October 28th 2008,355,Leisure,,1
266,34914,34914,866,1153,Hot Ticket : Sinners on Tour,Olivia Cunning,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Feb 2013,391,Sourcebooks Inc,English,Hot Ticket,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Music;Adult,February 5th 2013,365,Sourcebooks Casablanca,English,1
36,3944,3944,1679,116,The Hamilton Affair : The Epic Love Story of Alexander Hamilton and Eliza Schuyler,Elizabeth Cobbs,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,19 Oct 2017,416,Hodder & Stoughton General Division,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,,0
480,80445,80445,1172,3519,Kiss of the Night,Sherrilyn Kenyon,Contemporary Fiction:Romance:Romance Books,30 Apr 2010,384,St Martin's Press,English,Sins of the Night,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,June 28th 2005,331,St. Martin's Press,English,0
58,7269,7269,282,208,In Bed With A Highlander,Maya Banks,Contemporary Fiction:Erotic Fiction:Historical Romance:Historical Romance:Historical Fiction,13 Sep 2011,368,Random House USA Inc,English,In Bed with a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 30th 2011,351,Ballantine Books,English,1
41,4926,4926,1700,141,Stranger in My Arms,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,Smooth Talking Stranger,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 31st 2009,340,St. Martin's Press,English,0
270,35273,35273,103,1163,Virgins : An Outlander Short Story,Diana Gabaldon,Historical Adventure:Historical Romance:Historical Romance:Historical Fiction,18 Nov 2016,256,Cornerstone,English,The Outlander Series,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Historical;Science Fiction;Time Travel;Fiction,October 29th 2012,7852,Dell,English,0
50,6294,6294,102,187,Dear John,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2009,335,Time Warner Trade Publishing,English,Dear John,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult;Adult Fiction;Love;Young Adult;Drama;Romance;Contemporary Romance,October 30th 2006,276,Warner Books,English,1
209,29160,29160,1267,914,Hungry For You : An Argeneau Novel,Lynsay Sands,Fantasy:Fantasy Books:Romance:Romance Books,06 Jul 2011,384,HarperCollins Publishers Inc,English,Hungry for You,Lynsay Sands,Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy;Paranormal,November 30th 2010,353,Avon,English,1
397,66614,66614,596,2869,Beautiful Bombshell,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,09 Dec 2013,160,SIMON & SCHUSTER,English,Beautiful Torment,Paige Laurens,Romance;New Adult,February 23rd 2015,216,,,0
410,68541,68541,2588,2964,The Immortal Who Loved Me : An Argeneau Novel,Lynsay Sands,Contemporary Fiction:Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Feb 2015,357,AVON BOOKS,English,The Immortal Hunter,Lynsay Sands,Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy;Paranormal;Fantasy,March 31st 2009,360,Avon,English,0
416,68660,68660,1156,2974,Beautiful Secret,Christina Lauren,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Apr 2015,400,SIMON & SCHUSTER,English,Beautiful Beginning,Christina Lauren,New Adult;Humor;Funny;Romance;Erotic Romance;Adult Fiction;Erotica;Humor,November 19th 2013,208,Pocket Star,,0
123,16069,16069,1108,440,Shades of Midnight : A Midnight Breed Novel,Lara Adrian,Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books,14 Jan 2010,383,Dell Books,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,0
222,31549,31549,398,1015,A Rogue by Any Other Name : The First Rule of Scoundrels,Sarah MacLean,Romance:Romance Books:Historical Romance:Historical Romance,05 Mar 2012,400,HarperCollins Publishers Inc,English,A Rogue by Any Other Name,Sarah MacLean,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,February 28th 2012,386,Avon,English,1
62,7416,7416,1201,215,The Dark Highlander,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books,01 Oct 2002,1,Bantam Doubleday Dell Publishing Group Inc,English,Kiss of the Highlander,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Paranormal Romance;Romance;Historical Romance;Fantasy;Paranormal;Fantasy;Historical,September 4th 2001,396,Dell,English,0
377,61476,61476,3492,2588,THE 1950s SPANKING CHRONICLES : TRUE SPANKING STORIES FROM THE FIFTIES VOLUME 1: True Accounts from the Nineteen-Fifties the Golden Age of Spanking: Erotic Spanking Discipline Spanking Punishment Spanking Corporal Punishment Domestic Discipline OTK,Sasha Cave,Erotic Fiction,10 Nov 2011,188,Lincoln Publishing Inc,English,Walking Back to Georgia: Guitar Face Series Book 3,Sasha Marshall;Meghan Glass,Romance;Epic,June 26th 2015,318,,,0
130,16554,16554,512,462,When He Was Wicked,Julia Quinn,Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,When He Was Wicked,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,June 29th 2004,368,Avon,English,1
187,23789,23789,210,729,Just Like Heaven,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,27 Jul 2011,384,HarperCollins Publishers Inc,English,Just Like Heaven,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance,May 31st 2011,374,Avon Harper Collins,English,1
23,2381,2381,1278,75,Rush Too Far,Abbi Glines,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 May 2014,256,Simon & Schuster Ltd,English,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,,0
43,5076,5076,1203,148,Darkfever,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books,08 Sep 2011,368,Orion Publishing Co,English,Darkfever,Karen Marie Moning,Fantasy;Fantasy;Urban Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae;Adult;Fiction,October 31st 2006,309,Delacorte Press,English,1
441,72778,72778,1802,3174,A Secret Love : Number 5 in series,Stephanie Laurens,Historical Romance:Historical Romance,01 Apr 2007,432,Little Brown Book Group,English,Hate: A Love Story,Laurel Ulen Curtis,Romance;New Adult;Romance;Contemporary Romance;Contemporary,October 11th 2014,285,Laurel Ulen Curtis,None,0
0,44,44,172,2,A Beautiful Wedding,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Dec 2013,208,Simon & Schuster Ltd,English,Beautiful Disaster,Jamie McGuire,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College;Fiction;Womens Fiction;Chick Lit;Adult;Did Not Finish,May 26th 2011,319,Jamie McGuire,,0
